date,btc_close,btc_volume,fear_greed_value,value_classification,btc_daily_return,positive_return
2026-03-03,68338.0,24972.2418,14,Extreme Fear,-0.007148911391331003,0
2026-03-04,72666.77,44919.0761,10,Extreme Fear,0.06334352775907992,1
2026-03-05,70890.72,26590.51253,22,Extreme Fear,-0.02444102029029227,0
2026-03-06,68114.02,22629.88722,18,Extreme Fear,-0.0391687374595715,0
2026-03-07,67262.91,12719.54315,12,Extreme Fear,-0.012495371731106153,0
2026-03-08,65971.2,21593.63901,12,Extreme Fear,-0.01920389706600567,0
2026-03-09,68432.16,28896.7213,8,Extreme Fear,0.03730355064027946,1
2026-03-10,69948.63,32602.57726,13,Extreme Fear,0.022160194855752158,1
2026-03-11,70191.86,27249.27542,15,Extreme Fear,0.0034772661022810514,1
2026-03-12,70541.34,21997.1605,18,Extreme Fear,0.0049789249066771735,1
2026-03-13,70930.0,35996.61678,15,Extreme Fear,0.005509677020595349,1
2026-03-14,71211.95,13017.24737,16,Extreme Fear,0.0039750458198222205,1
2026-03-15,72815.24,14037.30704,15,Extreme Fear,0.022514339236602954,1
2026-03-16,74884.67,28409.53019,23,Extreme Fear,0.028420286742171008,1
2026-03-17,73909.36,24521.26636,28,Fear,-0.013024161019872249,0
2026-03-18,71246.54,23392.88093,26,Fear,-0.03602818371042593,0
2026-03-19,69930.0,22364.81819,23,Extreme Fear,-0.018478651735228002,0
2026-03-20,70510.73,18121.16745,11,Extreme Fear,0.008304447304447349,1
2026-03-21,68918.12,13397.1675,12,Extreme Fear,-0.022586775090826627,0
2026-03-22,67859.0,14843.78682,10,Extreme Fear,-0.015367801675379322,0
2026-03-23,70906.45,28335.09119,8,Extreme Fear,0.044908560397294295,1
2026-03-24,70556.74,20702.42244,11,Extreme Fear,-0.004931991377371103,0
2026-03-25,71336.53,17719.50066,14,Extreme Fear,0.011051956198656399,1
2026-03-26,68820.31,20820.45768,10,Extreme Fear,-0.035272531478612756,0
2026-03-27,66213.94,19900.93446,13,Extreme Fear,-0.0378721049062406,0
