date,btc_close,btc_volume,fear_greed_value,value_classification,btc_daily_return,positive_return,search_interest,high_interest
2026-03-03,68338.0,24972.2418,14,Extreme Fear,-0.007148911391331,0,92,1
2026-03-04,72666.77,44919.0761,10,Extreme Fear,0.0633435277590799,1,90,1
2026-03-05,70890.72,26590.51253,22,Extreme Fear,-0.0244410202902922,0,92,1
2026-03-06,68114.02,22629.88722,18,Extreme Fear,-0.0391687374595715,0,82,1
2026-03-07,67262.91,12719.54315,12,Extreme Fear,-0.0124953717311061,0,69,0
2026-03-08,65971.2,21593.63901,12,Extreme Fear,-0.0192038970660056,0,71,0
2026-03-09,68432.16,28896.7213,8,Extreme Fear,0.0373035506402794,1,88,1
2026-03-10,69948.63,32602.57726,13,Extreme Fear,0.0221601948557521,1,77,1
2026-03-11,70191.86,27249.27542,15,Extreme Fear,0.003477266102281,1,72,0
2026-03-12,70541.34,21997.1605,18,Extreme Fear,0.0049789249066771,1,70,0
2026-03-13,70930.0,35996.61678,15,Extreme Fear,0.0055096770205953,1,77,1
2026-03-14,71211.95,13017.24737,16,Extreme Fear,0.0039750458198222,1,62,0
2026-03-15,72815.24,14037.30704,15,Extreme Fear,0.0225143392366029,1,61,0
2026-03-16,74884.67,28409.53019,23,Extreme Fear,0.028420286742171,1,84,1
2026-03-17,73909.36,24521.26636,28,Fear,-0.0130241610198722,0,74,1
2026-03-18,71246.54,23392.88093,26,Fear,-0.0360281837104259,0,74,1
2026-03-19,69930.0,22364.81819,23,Extreme Fear,-0.018478651735228,0,72,0
2026-03-20,70510.73,18121.16745,11,Extreme Fear,0.0083044473044473,1,85,1
2026-03-21,68918.12,13397.1675,12,Extreme Fear,-0.0225867750908266,0,61,0
2026-03-22,67859.0,14843.78682,10,Extreme Fear,-0.0153678016753793,0,64,0
2026-03-23,70906.45,28335.09119,8,Extreme Fear,0.0449085603972942,1,74,1
2026-03-24,70556.74,20702.42244,11,Extreme Fear,-0.0049319913773711,0,66,0
2026-03-25,71336.53,17719.50066,14,Extreme Fear,0.0110519561986563,1,54,0
2026-03-26,68820.31,20820.45768,10,Extreme Fear,-0.0352725314786127,0,53,0
2026-03-27,66213.94,19900.93446,13,Extreme Fear,-0.0378721049062406,0,66,0
